   -1.29588e-20 -1 1.64323  -4.30281e-20   1
   15.26     -10.7014 -0.092993 0.489127  0.998296   0.0212627
   15.32     -10.6693 -0.0831667 0.498046  0.999104   0.017838
   15.38     -10.6323 -0.0827259 0.488871  0.998567   -0.0035351
   15.44     -10.5985 -0.0963048 0.497972  0.999167   0.00163209
   15.5     -10.561 -0.10132 0.488878  0.998129   0.0210447
   15.56     -10.5297 -0.0934837 0.498169  0.999051   0.0181455
   15.62     -10.4937 -0.0937532 0.489079  0.998593   -0.00173279
   15.68     -10.4606 -0.104519 0.498147  0.999213   0.00108407
   15.74     -10.424 -0.10661 0.489043  0.998318   0.0203729
   15.8     -10.3921 -0.096742 0.498251  0.999102   0.0182649
   15.86     -10.3555 -0.0951912 0.489135  0.9986   -0.00172994
   15.92     -10.3225 -0.10457 0.498388  0.999243   0.00181336
   15.98     -10.2858 -0.105865 0.489203  0.998322   0.0214447
   16.04     -10.2537 -0.0959064 0.498098  0.999124   0.0180078
   16.1     -10.2168 -0.0953037 0.488954  0.998608   -0.00317717
   16.16     -10.1829 -0.108999 0.498023  0.999182   0.0019924
   16.22     -10.1452 -0.11409 0.488912  0.998128   0.0213666
   16.28     -10.1138 -0.106148 0.498171  0.999048   0.0183859
   16.34     -10.0779 -0.106334 0.489104  0.998609   -0.00165516
   16.4     -10.0449 -0.116956 0.498213  0.999227   0.00115103
   16.46     -10.0083 -0.119069 0.489112  0.998339   0.0205081
   16.52     -9.97632 -0.109551 0.498288  0.999105   0.0185885
   16.58     -9.9395 -0.108153 0.4891  0.998584   -0.00142746
   16.64     -9.90637 -0.11751 0.498308  0.999224   0.00210087
   16.7     -9.86957 -0.118777 0.489103  0.998268   0.0217293
   16.76     -9.83758 -0.108836 0.498049  0.999096   0.0180986
   16.82     -9.80064 -0.108012 0.488896  0.998568   -0.00333383
   16.88     -9.76709 -0.12097 0.497996  0.999183   0.00174547
   16.94     -9.72969 -0.125447 0.488929  0.998157   0.02113
   17     -9.6982 -0.117133 0.498157  0.999054   0.0183508
   17.06     -9.66207 -0.116901 0.489072  0.998587   -0.00169613
   17.12     -9.62907 -0.127148 0.498227  0.99922   0.00134424
   17.18     -9.59253 -0.129215 0.489103  0.998313   0.0208705
   17.24     -9.56061 -0.120177 0.498284  0.999094   0.0190007
   17.3     -9.52383 -0.119082 0.489093  0.998585   -0.000884058
   17.36     -9.49073 -0.128554 0.498302  0.999225   0.0026069
   17.42     -9.45395 -0.129926 0.489108  0.998264   0.0221877
   17.48     -9.42199 -0.120054 0.498068  0.999094   0.018566
   17.54     -9.38509 -0.119319 0.488925  0.998583   -0.00295098
   17.6     -9.3515 -0.132304 0.498019  0.999185   0.0095726
   17.66     -9.31407 -0.136798 0.48895  0.997942   0.0326577
   17.72     -9.28258 -0.128459 0.498172  0.999178   0.0218107
   17.78     -9.24651 -0.128245 0.48909  0.998949   -0.00247155
   17.84     -9.21342 -0.138518 0.49821  0.999478   0.000312829
   17.9     -9.17676 -0.140455 0.48907  0.998153   0.0266447
   17.96     -9.14483 -0.131064 0.498257  0.998711   0.0280875
   18.02     -9.10804 -0.129655 0.489057  0.998312   0.00801565
   18.08     -9.07491 -0.138928 0.498242  0.998986   0.0115085
   18.14     -9.03805 -0.140084 0.489031  0.997764   0.0310793
   18.2     -9.00615 -0.130082 0.498039  0.998709   0.0272056
   18.26     -8.96924 -0.128896 0.488869  0.998144   0.000892721
   18.32     -8.93591 -0.141518 0.497989  0.998808   0.00272951
   18.38     -8.89874 -0.145826 0.488962  0.997661   0.0221588
   18.44     -8.86722 -0.137568 0.498204  0.998685   0.019463
   18.5     -8.83097 -0.137404 0.489079  0.998119   -0.000706218
   18.56     -8.79776 -0.14776 0.498163  0.998842   0.00241848
   18.62     -8.76101 -0.149701 0.489008  0.99776   0.0216864
   18.68     -8.72915 -0.140157 0.498203  0.998706   0.0193957
   18.74     -8.69245 -0.138658 0.489032  0.99808   -0.000596685
   18.8     -8.65946 -0.147943 0.498273  0.999041   0.0109315
   18.86     -8.62279 -0.149103 0.489092  0.99791   0.0343277
   18.92     -8.59095 -0.139134 0.498094  0.998788   0.0307048
   18.98     -8.55417 -0.13814 0.488963  0.998545   0.00902946
   19.04     -8.52055 -0.15067 0.498042  0.999102   0.0138429
   19.1     -8.4831 -0.154747 0.488971  0.997845   0.0330857
   19.16     -8.45158 -0.146157 0.498201  0.998759   0.0302734
   19.22     -8.41546 -0.14562 0.489093  0.998527   0.0101319
   19.28     -8.38234 -0.155629 0.498181  0.999129   0.0129745
   19.34     -8.34565 -0.157252 0.489019  0.997974   0.0322315
   19.4     -8.31377 -0.147512 0.498207  0.998789   0.0301298
   19.46     -8.27706 -0.145822 0.489028  0.998492   0.0101361
   19.52     -8.24407 -0.155002 0.498271  0.999122   0.0136515
   19.58     -8.20737 -0.156042 0.489078  0.997946   0.0330839
   19.64     -8.17547 -0.145923 0.498054  0.998816   0.0294245
   19.7     -8.13863 -0.144894 0.488917  0.998537   0.00781017
   19.76     -8.10505 -0.157631 0.498008  0.999108   0.0127538
   19.82     -8.06761 -0.161864 0.488931  0.997867   0.0319295
   19.88     -8.03628 -0.153556 0.498212  0.999054   0.0205416
   19.94     -8.00044 -0.15321 0.489157  0.998698   -0.00342081
   20     -7.96741 -0.163309 0.498252  0.999219   0.00703702
   20.06     -7.93086 -0.164963 0.489137  0.998066   0.0301819
   20.12     -7.8988 -0.155282 0.498321  0.998846   0.0282732
   20.18     -7.86192 -0.153709 0.489102  0.998498   0.00769729
   20.24     -7.82881 -0.162933 0.498245  0.999122   0.0111096
   20.3     -7.7926 -0.164093 0.489143  0.998027   0.0305741
   20.36     -7.76073 -0.154414 0.498195  0.99882   0.0288728
   20.42     -7.72401 -0.152999 0.489044  0.998501   0.00903059
   20.48     -7.69075 -0.162768 0.498281  0.999113   0.0125938
   20.54     -7.65377 -0.164361 0.489061  0.99791   0.0319501
   20.6     -7.62194 -0.154716 0.49803  0.998811   0.0280581
   20.66     -7.58512 -0.15364 0.488871  0.99846   0.00830789
   20.72     -7.55186 -0.165688 0.497998  0.999076   0.0131958
